atleta_id;nome;apelido;slug;clube_id;clube_nome;clube_abreviacao;posicao_id;posicao_nome;status_id;status_nome;preco_num;variacao_num;media_num;jogos_num;pontos_num
132264;Keny Alexander Arroyo Alvarado;Arroyo;arroyo;283;CRU;CRU;5;Atacante;2;Dúvida;7;0;0;0;0
113158;Marcus Vinícius Oliveira Alencar;Marquinhos;marquinhos;283;CRU;CRU;5;Atacante;6;Nulo;4;0;0;0;0
105047;João Marcelo Messias Ferreira;João Marcelo;joao-marcelo;283;CRU;CRU;3;Zagueiro;6;Nulo;5;0;0;0;0
146807;Rayan Passaglia Lelis;Rayan Lelis;rayan-lelis;283;CRU;CRU;5;Atacante;6;Nulo;2;0;0;0;0
143600;Kauã Moraes Silva;Kauã Moraes;kaua-moraes;283;CRU;CRU;2;Lateral;6;Nulo;3;0;0;0;0
131967;Neyser Villarreal - Neiser;Villarreal;villarreal;283;CRU;CRU;5;Atacante;6;Nulo;5;0;0;0;0
92854;Rafael Santos Borré Maury;Borré;borre;285;INT;INT;5;Atacante;7;Provável;8;0;0;0;0
83528;Leonardo Pereira;Léo Pereira;leo-pereira;262;FLA;FLA;3;Zagueiro;7;Provável;13;0;0;0;0
84816;Guillermo Varela Olivera;Varela;varela;262;FLA;FLA;2;Lateral;7;Provável;7;0;0;0;0
137542;Kaique Kenji Takamura Correa;Kaique Kenji;kaique-kenji;283;CRU;CRU;5;Atacante;6;Nulo;3;0;0;0;0
143350;Murilo Rhikman Alves Pimentel;Murilo Rhikman;murilo-rhikman;283;CRU;CRU;4;Meia;6;Nulo;3;0;0;0;0
137543;Tevis Gabriel Alves Santos;Tevis;tevis;283;CRU;CRU;5;Atacante;6;Nulo;2;0;0;0;0
69783;Danilo Luiz da Silva;Danilo;danilo;262;FLA;FLA;3;Zagueiro;6;Nulo;8;0;0;0;0
111757;Ryan Guilherme da Silva Pae;Ryan Guilherme;ryan-guilherme;283;CRU;CRU;4;Meia;6;Nulo;2;0;0;0;0
117404;Otávio Eleodoro Rezende Costa;Otávio;otavio;283;CRU;CRU;1;Goleiro;6;Nulo;2;0;0;0;0
122660;João Wellington Gadelha Melo de Oliveira;Japa;japa;283;CRU;CRU;4;Meia;6;Nulo;3;0;0;0;0
80061;Saúl Ñíguez Esclapez;Saúl;saul;262;FLA;FLA;4;Meia;5;Contundido;7;0;0;0;0
91473;Erick Antonio Pulgar Farfán;Erick Pulgar;erick-pulgar;262;FLA;FLA;4;Meia;7;Provável;10;0;0;0;0
86757;Everton Sousa Soares;Everton;everton;262;FLA;FLA;5;Atacante;6;Nulo;9;0;0;0;0
90285;Bruno Henrique Pinto;Bruno Henrique;bruno-henrique;262;FLA;FLA;5;Atacante;6;Nulo;9;0;0;0;0
82627;Luiz de Araújo Guimarães Neto;Luiz Araújo;luiz-araujo;262;FLA;FLA;5;Atacante;6;Nulo;10;0;0;0;0
98873;Samuel Dias Lino;Samuel Lino;samuel-lino;262;FLA;FLA;5;Atacante;6;Nulo;9;0;0;0;0
84735;Jorge Luiz Frello Filho;Jorginho;jorginho;262;FLA;FLA;4;Meia;7;Provável;15;0;0;0;0
109096;Gonzalo Jordy Plata Jiménez;Plata;plata;262;FLA;FLA;5;Atacante;7;Provável;7;0;0;0;0
96870;Emerson Aparecido Leite de Souza Júnior;Emerson Royal;emerson-royal;262;FLA;FLA;2;Lateral;6;Nulo;5;0;0;0;0
87863;Giorgian Daniel de Arrascaeta Benedetti;Arrascaeta;arrascaeta;262;FLA;FLA;4;Meia;7;Provável;23;0;0;0;0
88393;Ayrton Lucas Dantas de Medeiros;Ayrton Lucas;ayrton-lucas;262;FLA;FLA;2;Lateral;6;Nulo;8;0;0;0;0
96652;Allan Rodrigues de Souza;Allan;allan;262;FLA;FLA;4;Meia;6;Nulo;5;0;0;0;0
97867;Leonardo Rech Ortiz;Léo Ortiz;leo-ortiz;262;FLA;FLA;3;Zagueiro;7;Provável;12;0;0;0;0
99392;Michael Richard Delgado de Oliveira;Michael;michael;262;FLA;FLA;5;Atacante;6;Nulo;5;0;0;0;0
115914;Everton Gustavo Fernandes Araújo;Evertton Araújo;evertton-araujo;262;FLA;FLA;4;Meia;6;Nulo;4;0;0;0;0
99228;Diego Nicolás de la Cruz Arcosa;De la Cruz;de-la-cruz;262;FLA;FLA;4;Meia;6;Nulo;8;0;0;0;0
122318;Francisco Dyogo Bento Alves;Dyogo Alves;dyogo-alves;262;FLA;FLA;1;Goleiro;6;Nulo;3;0;0;0;0
130189;Leonardo Nannetti Lopes;Léo Nannetti;leo-nannetti;262;FLA;FLA;1;Goleiro;6;Nulo;2;0;0;0;0
122320;Daniel dos Santos Salles;Daniel Sales;daniel-sales;262;FLA;FLA;2;Lateral;6;Nulo;2;0;0;0;0
139076;Filipe Luís Kasmirski;Filipe Luís;filipe-luis;262;FLA;FLA;6;Técnico;7;Provável;12;0;0;0;0
87342;Walter Kannemann;Kannemann;kannemann;284;GRE;GRE;3;Zagueiro;5;Contundido;5;0;0;0;0
118090;Iago Teodoro da Silva Nogueira;Iago;iago;262;FLA;FLA;3;Zagueiro;6;Nulo;2;0;0;0;0
62977;Paulo Henrique Chagas de Lima;Ganso;ganso;266;FLU;FLU;4;Meia;6;Nulo;7;0;0;0;0
140303;João Pedro do Nascimento da Mata;Da Mata;da-mata;262;FLA;FLA;3;Zagueiro;6;Nulo;2;0;0;0;0
145705;Douglas Costa Telles;Douglas Telles;douglas-telles;262;FLA;FLA;5;Atacante;6;Nulo;2;0;0;0;0
122573;Wallace Yan de Souza Barreto;Wallace Yan;wallace-yan;262;FLA;FLA;5;Atacante;6;Nulo;5;0;0;0;0
73384;Samuel Xavier Brito;Samuel Xavier;samuel-xavier;266;FLU;FLU;2;Lateral;7;Provável;9;0;0;0;0
143295;Caio Joshua Lana de Andrade;Joshua;joshua;262;FLA;FLA;4;Meia;6;Nulo;3;0;0;0;0
78445;Renê Rodrigues Martins;Renê;rene;266;FLU;FLU;2;Lateral;6;Nulo;6;0;0;0;0
82463;Otávio Henrique Passos Santos;Otávio;otavio;266;FLU;FLU;4;Meia;6;Nulo;4;0;0;0;0
